zaman,kur,alis,satis
1727967287,ZAR,1.9092,1.9869
1728053687,ZAR,1.9213,1.9993
1728140087,ZAR,1.8846,2.0299
1728226607,ZAR,1.8846,2.0299
1728312887,ZAR,1.9279,2.0062
1728399528,ZAR,1.9112,1.9886
1728485687,ZAR,1.9,1.9771
1728571967,ZAR,1.9085,1.9862
1728658488,ZAR,1.9278,2.0059
1728744767,ZAR,1.9015,2.0402
1728831287,ZAR,1.9015,2.0402
1728917927,ZAR,1.9122,1.9898
1729004087,ZAR,1.9055,1.983
1729090487,ZAR,1.8976,1.9748
1729176887,ZAR,1.8869,1.9638
1729263167,ZAR,1.9097,1.9872
1729349927,ZAR,1.8769,2.0151
1729436207,ZAR,1.8769,2.0151
1729522487,ZAR,1.9061,1.9834
1729608767,ZAR,1.9167,1.9944
1729695287,ZAR,1.8823,1.9586
1729781688,ZAR,1.8949,1.9718
1729868088,ZAR,1.9057,1.983
1729954608,ZAR,1.8714,2.011
1730041128,ZAR,1.8714,2.011
1730127408,ZAR,1.8725,2.0031
1730213807,ZAR,1.8727,2.0033
1730300087,ZAR,1.8962,1.9731
1730386367,ZAR,1.8997,1.9767
1730472888,ZAR,1.9169,1.9944
1730559287,ZAR,1.8736,2.0135
1730645567,ZAR,1.8736,2.0135
1730732087,ZAR,1.9202,1.9979
1730818488,ZAR,1.929,2.007
1730904897,ZAR,1.8913,1.9684
1730991296,ZAR,1.9409,2.0198
1731077936,ZAR,1.923,2.001
1731164336,ZAR,1.8888,2.0207
1731250496,ZAR,1.8888,2.0207
1731336897,ZAR,1.875,1.9509
1731423296,ZAR,1.8636,1.9389
1731509817,ZAR,1.8589,1.9343
1731596096,ZAR,1.8432,1.9177
1731682496,ZAR,1.853,1.9279
1731768776,ZAR,1.8257,1.9527
1731855416,ZAR,1.8257,1.9527
1731941696,ZAR,1.8734,1.9488
1732028216,ZAR,1.876,1.9516
1732114376,ZAR,1.862,1.9371
1732201016,ZAR,1.8768,1.9526
1732287416,ZAR,1.8681,1.9432
1732373696,ZAR,1.842,1.9697
1732459976,ZAR,1.842,1.9697
1732546737,ZAR,1.8777,1.9532
1732632896,ZAR,1.8685,1.9434
1732719176,ZAR,1.8706,1.9455
1732805696,ZAR,1.8712,1.9464
1732892216,ZAR,1.8852,1.9608
1732978736,ZAR,1.8589,1.9886
1733064896,ZAR,1.8589,1.9886
1733151296,ZAR,1.8686,1.9434
1733237817,ZAR,1.8797,1.9549
1733324217,ZAR,1.8772,1.9525
1733410496,ZAR,1.8865,1.962
1733496896,ZAR,1.8952,1.971
1733583537,ZAR,1.8639,1.9925
1733669816,ZAR,1.8639,1.9925
1733755976,ZAR,1.9201,1.9967
1733842496,ZAR,1.9104,1.9866
1733928859,ZAR,1.9248,2.0015
1734015259,ZAR,1.928,2.0048
1734101899,ZAR,1.9137,1.9898
1734188299,ZAR,1.8903,2.0198
1734274579,ZAR,1.8903,2.0198
1734360859,ZAR,1.9157,1.9918
1734447259,ZAR,1.8896,1.9646
1734533779,ZAR,1.903,1.9785
1734620179,ZAR,1.874,1.9482
1734706699,ZAR,1.8772,1.9515
1734792859,ZAR,1.8571,1.9837
1734879380,ZAR,1.8571,1.9837
1734965659,ZAR,1.865,1.9387
1735052179,ZAR,1.8535,1.9268
1735138699,ZAR,1.8447,1.9851
1735224859,ZAR,1.8305,1.9034
1735311259,ZAR,1.848,1.9212
1735397779,ZAR,1.8211,1.9454
1735484059,ZAR,1.8211,1.9454
1735570699,ZAR,1.8461,1.9189
1735656979,ZAR,1.838,1.9105
1735743499,ZAR,1.8133,1.9361
1735829779,ZAR,1.8506,1.9235
1735915939,ZAR,1.8536,1.9264
1736002339,ZAR,1.8239,1.9476
1736089099,ZAR,1.8239,1.9476
1736175379,ZAR,1.8689,1.9426
1736256139,ZAR,1.8665,1.9399
1736348059,ZAR,1.835,1.9073
1736434459,ZAR,1.8369,1.9093
1736521099,ZAR,1.8165,1.8879
1736607259,ZAR,1.7933,1.9146
1736693900,ZAR,1.7933,1.9146
1736780300,ZAR,1.8244,1.8958
1736866699,ZAR,1.8377,1.9096
1736952860,ZAR,1.8549,1.9276
1737039156,ZAR,1.8437,1.9159
