zaman,kur,alis,satis
1727879992,SAR,8.9594,9.2519
1727966577,SAR,8.8543,9.3291
1728052773,SAR,8.8499,9.324
1728139295,SAR,8.8734,9.3699
1728225695,SAR,8.8783,9.3674
1728312135,SAR,8.874,9.3481
1728398632,SAR,8.8831,9.3587
1728484726,SAR,8.8716,9.3464
1728571456,SAR,8.8747,9.3474
1728657593,SAR,8.8919,9.3782
1728744020,SAR,8.881,9.3903
1728830369,SAR,8.881,9.3903
1728916939,SAR,8.8834,9.3506
1729003261,SAR,8.8741,9.3489
1729089558,SAR,8.8556,9.3293
1729175986,SAR,8.8366,9.3097
1729262653,SAR,8.846,9.3244
1729349035,SAR,8.8564,9.3803
1729435485,SAR,8.8564,9.3803
1729521727,SAR,8.8771,9.3533
1729608001,SAR,8.8708,9.3448
1729694262,SAR,8.8859,9.3614
1729780864,SAR,8.8707,9.345
1729867476,SAR,8.8942,9.369
1729953714,SAR,8.8839,9.3827
1730040219,SAR,8.8839,9.3827
1730126448,SAR,8.8866,9.3802
1730212910,SAR,8.8845,9.3859
1730299207,SAR,8.8754,9.3505
1730385566,SAR,8.8724,9.3566
1730471999,SAR,8.867,9.3542
1730558439,SAR,8.8918,9.3996
1730645084,SAR,8.8918,9.3996
1730731447,SAR,8.8941,9.3795
1730817853,SAR,8.8978,9.3726
1730904011,SAR,8.8679,9.3427
1730990553,SAR,8.8707,9.3445
1731076991,SAR,8.8678,9.3463
1731163406,SAR,8.9082,9.4047
1731249617,SAR,8.9082,9.4047
1731336051,SAR,8.8986,9.3735
1731422430,SAR,8.9037,9.3785
1731508821,SAR,8.8932,9.3688
1731595187,SAR,8.8967,9.3826
1731681661,SAR,8.8902,9.3782
1731768281,SAR,8.9183,9.4265
1731854534,SAR,8.9183,9.4265
1731940420,SAR,8.9529,9.4315
1732027318,SAR,8.9584,9.4375
1732113878,SAR,8.9288,9.4184
1732200080,SAR,8.9359,9.4152
1732286559,SAR,8.9288,9.4151
1732372795,SAR,8.9532,9.4573
1732459486,SAR,8.9532,9.4573
1732545807,SAR,8.9624,9.4408
1732631614,SAR,8.9733,9.4536
1732718064,SAR,8.9679,9.4488
1732805069,SAR,8.9628,9.4425
1732891264,SAR,8.9615,9.4421
1732977795,SAR,8.9878,9.4878
1733063974,SAR,8.9878,9.4878
1733150021,SAR,8.9943,9.4756
1733236894,SAR,8.999,9.4804
1733323049,SAR,8.9975,9.4779
1733409379,SAR,8.9862,9.473
1733496123,SAR,8.9881,9.4714
1733582615,SAR,9.0049,9.5135
1733668934,SAR,9.0049,9.5135
1733754845,SAR,9.0176,9.4996
1733841481,SAR,9.0247,9.5063
1733927791,SAR,9.0282,9.5101
1734014120,SAR,9.0311,9.5137
1734100959,SAR,9.029,9.5115
1734187424,SAR,9.0519,9.5562
1734273817,SAR,9.0519,9.5562
1734359616,SAR,9.0548,9.5382
1734446078,SAR,9.0617,9.5445
1734532968,SAR,9.0691,9.5536
1734619377,SAR,9.0856,9.5775
1734705796,SAR,9.0905,9.5854
1734791970,SAR,9.1118,9.6315
1734878474,SAR,9.1118,9.6315
1734965072,SAR,9.1328,9.6231
1735051455,SAR,9.1274,9.6159
1735137755,SAR,9.1393,9.6558
1735224096,SAR,9.1159,9.6056
1735310664,SAR,9.1375,9.6341
1735397004,SAR,9.1049,9.6474
1735483189,SAR,9.1049,9.6474
1735569831,SAR,9.1466,9.6466
1735656217,SAR,9.1468,9.6359
1735742600,SAR,9.1611,9.6658
1735828915,SAR,9.1496,9.6385
1735915197,SAR,9.146,9.6362
